연번,이름,내용
21,마늘장아찌는 식초와 간장으로 만드세요,"고조선의 건국신화에 등장할 만큼 마늘은 오랫동안 우리의 식문화와 함께 했다. 성질은 온하고 몸을 따뜻하게 하여 말초혈관을 확장시키고 신진대사를 증진시킨다. 또한 위액의 분비를 촉진하여 소화 장애에 효과가 있다. 강한 항균작용과 보온 효과로 감기나 냉증에 도움이 된다. 하지만 마늘은 자극이 강한 식품이므로 공복에 생것으로 먹는 것은 삼가야 한다. 마늘의 성분은 수분 70%, 단백질 13%, 회분 99mg%, 칼륨33mg%, 칼슘 21mg%, 마그네슘, 인산 등이 함유되어 있고 비타민 B1, B2, C도 약간 함유되어 있다. 마늘의 풍부한 영양소와 생리활성에 불구하고 마늘이 지닌 강한 냄새는 다른 사람의 불쾌감을 초래하기도 한다. 또한 마늘을 장기적으로 보관하기도 쉽지 않다. 따라서 마늘의 강한 냄새 제거와 저장성을 늘리기 위한 방법으로 마늘장아찌를 들 수 있다. 마늘, 식초, 간장, 설탕, 물 등을 넣어 항아리에 넣어 보관 후 1주일 정도 지나 간장물을 끓여 다시 부어 밀봉하여 1개월 정도 보관 후 먹는 방법이다. 이 방법은 마늘의 생리활성은 변하지 않고 강한 냄새는 제거 가능하여 오랫동안 마늘을 먹을 수 있다."
22,머위나물에는 들깨즙을,"머위는 지방에 따라 머우 · 머구 등으로 불리는 이름이 다르다. 머위의 잎과 줄기는 쓴맛이 강해 데치거나 삶아서 먹는다. 머위나물은 머위의 연한 줄기를 삶아 깨즙을 넉넉히 넣어  끓인 숙채이다. 주요 영양소는 잎에 존재하며 비타민 A의 전구체인 베타카로틴을 비롯 다양한 비타민이 골고루 들어있다. 머위는 칼슘을 다량 함유한 알칼리성 식품으로 독특한 향을 가지고 있어 향채로서의 역할이 크다. 머위를 삶다 보면 쉽게 갈변현상이 생기는데 이는 클로로겐산과 폴리페놀 성분 때문이며 색이 변하지 않게 삶으려면 약간의 소금을 첨가 하거나 쌀뜨물을 이용하는 것이 좋다. 머위의 아린 맛을 없애기 위해서는 삶은 머위를 찬물에 담가둔다.   들깨의 주성분은 지질 47.2%가로 불포화지방산중의 우리 몸에서 합성할 수 없어 꼭 식품을 통해 먹어야 하는 필수지방산인 리놀레산을 60% 포함한다. 이외 단백질 18.2%, 식이섬유, 회분 등을 함유하고 있다. 들깨는 동맥경화증의 예방, 빈혈이나 피부염 개선에 효과가 있다.  들깨즙은 들깨에 쌀가루를 섞고 물을 부어 곱게 갈아서 만든 것으로 잘 손질된 머위에 다진 마늘, 소금을 넣고 양념하여 기름을 두르고 살짝 볶는다. 여기에 들깨즙을 넣고서 소금으로 간한다. 이렇게 만들면 조금 씁쓰름한 머위 맛이 부드러워지고 봄의 향미를 맛볼 수 있으며 영양학적으로도 균형이 잘 잡혀 좋다. "
23,아침에 뇌를 깨우는 벌꿀 인삼차,"인삼은 오갈피과에 속하는 다년초이다. 우리나라에서 재배되기 시작한 것은 고려 때 이고 본격적인 인삼 경작은 조선 숙 &#8228; 영조 때 와서 대량으로 재배되고 대외적으로 인삼의 효능을 인정받게 되었다. 인삼의 성분은 수분이 1.7%, 단백질 13.7%, 지방 3.4%, 탄수화물 67.3%, 무기질 3.9%, 비타민 C는 없다. 인삼의 효능은 피로, 스트레스, 고혈압, 동맥경화증, 빈혈, 당뇨병, 궤양 등에 효과가 있으며 최근 보고에 의하면 항암작용이 있음이 밝혀지고 있다. 인삼을 먹는 방법도 다양하여 식품으로 활용한 예는 차를 만들어 마시거나 생즙을 마시거나, 인삼죽, 인삼정과 등을 만들어 먹었다. 특히 꿀이나 설탕에 재어 만든 정과는 우리의 전통식품으로 생삼을 꿀에 버무려 약한 불에서 조린 음식으로 강장효과가 있다.   꿀은 오래 전부터 인류가 천연감미료로 이용해 왔으며 꿀의 종류에 따라 색깔과 맛이 다양하다. 벌꿀의 주성분은 당질이고 그중 과당이 36~38%, 포도당이 34~36%, 설탕과 덱스트린이 2~3% 함유 되어 있다. 꿀은 위장이 약한 사람에게 좋고 피로회복에 좋으며 피부보호 작용도 가지고 있다. 우리의 뇌는 유일하게 에너지원으로 포도당만을 필요로 한다. 꿀에는 포도당 뿐 만 아니라 항산화 물질도 함유하고 있다. 꿀이 가지고 있는 뛰어난 항산화의 위력은 혈액을 맑게 해주는 역할을 한다. 꿀은 고열량이므로 인삼과 함께 복용할 경우 궁합이 잘 맞는 식품으로 아침에 산뜻하게 뇌를 깨우고 인삼의 효능을 높이기 위해 인삼차를 마시는 것도 좋다. "
24,시금치나물엔 볶은 참깨를 송송 뿌린다.,"시금치는 4계절 재배할 수 있는 저온성의 녹엽 채소로 명아주과에 속하는 1~2년 초이다. 시금치에는 비타민의 종류가 골고루 들어 있는데 특히 비타민 A와 C가 많다. 칼슘과 철분  등이 풍부해 성장기 어린이는 물론 임산부에게 권장할 만한 식품이다. 또한 우리 몸에 보혈작용과 강장효과도 있다. 그러나 시금치를 많이 먹는 경우 결석이 생성 될 수 있는데 이는 시금치에 풍부한 수산(옥살산) 때문이다. 수산은 체내에서 칼슘과 결합하여 신장, 방광에 결석을 만든다. 결석 방지를 위해서 칼슘과 수산의 비율을 1.1:2정도 되도록 조절을 할 경우 수산은 몸 밖으로 배출되게 된다. 따라서 시금치의 영양을 충분히 살리고 칼슘의 흡수를 높이기 위해서 칼슘이 많이 들어 있는 식품과 배합을 하는 것이 중요하다.    참깨의 주성분은 지질로 약 50% 포함하고 단백질은 약 20%이다. 트립토판, 메티오닌 등 아미노산이 풍부해 식물성 단백질 중 영양적으로 우수하다.  철분 함량도 높고 특히 칼슘(1,200mg%)이 풍부하여 시금치와 잘 어울리는 식품이라 할 수 있다. 세포의 산화를 억제하여 노화를 억제하는  비타민 E, 동맥경화를 방지하는 리놀렌산, 스테아르산 등이 많이 포함되어 있다. 고소한 향과 맛을 가진 참깨를 시금치과 함께 먹는다면 자연스럽게 결석의 염려도 없애고 시금치에 부족한 단백질, 지방, 칼슘, 비타민 B등을 자연스럽게 공급 할 수 있다."
25,술 마신 후 숙취 해소에 좋은 취나물과 두부요리,"취는 산야에 자생하는 엉거시과에 속하는 다년초인 산채이다. 그의 성분을 살펴보면, 수분 87.5%, 단백질 3.3%, 지질 0.4%, 당질 5.4%, 조섬유 , 무기질과 비타민을 함유하고 있다. 특히 비타민 A의 전구체인 카로틴과 비타민 B 복합체가 들어 있다. 취나물 중의 비타민 C가 알코올을 분해하는데 도움을 주며 또한 비타민 B2는 간의 해독작용을 도와준다.  술을 마신 후 숙취용으로 취나물은 제격인 반찬이다. 이때 더욱 취나물의 효과를 보기 위해 두부요리를 함께 곁들이면 더욱 간에 도움이 된다. 두부 안에 있는 콜린은 간에 지방이 축적되는 것을 막아주는 역할을 수행한다. 술을 마신 후 두통, 구토 증세가 생기는 것은 체내에 들어온 알코올의 분해 과정 중 생성되는 아세트알데하이드가 분해되지 못했기 때문이다. 따라서 음주 후 충분한 단백질과 비타민이 공급되어야 한다. 취나물과 두부는 숙취를 제거하고 간을 해독하는데 도움이 되는 음식이다."
26,죽순의 잡맛을 없애는 쌀뜨물,"죽순은 대나무의 땅속뿌리에서 돋아나는 어리고 연한 싹을 말한다. 예부터 조상들은 죽순을 이용한 죽순채, 죽순밥, 죽순탕, 죽순정과, 죽순나물 등 다양한 음식을 만들어 먹었다. 죽순을 이용한 음식은 우리나라 뿐 만 아니라 중국이나 일본 요리에도 다양하게 이용되고 인도네시아, 필리핀, 인도, 베트남 등 동남아시아에서는 흔하게 먹는 채소이다. 이렇게 많은 국가에서 다양하게 이용되는 죽순에는 시아노겐이라는 유독 물질을 함유하고 있어 날것으로 먹지 못하고 삶아서 이용해야 한다. 죽순에는 단백질이 2.5%, 비타민 B군과 C가 함유되어 있고 섬유소도 풍부한 식품이다. 죽순은 채취 후 바로 가공처리 하지 않으면 호흡을 계속 하면서 신진대사가 진행되어 죽순에 옥살산, 호모겐티딘산 등 좋지 않은 맛을 생성한다. 이 잡맛을 제거하는 방법은 쌀뜨물에 죽순을 담그는 것이다.  쌀뜨물은 밥을 짓기 전 쌀을 물로 씻으면 유백색의 뜨물이 나온다. 쌀뜨물에는 쌀이 가지고 있는 전분, 수용성 단백질, 지방, 섬유소 등이 섞여 있다. 쌀뜨물에 죽순을 담그게 되면 죽순의 영양성분의 손실이 훨씬 적고, 죽순이 가지고 있은 섬유질을 부드럽게 하는 효과가 있다. 잡맛이 없는 맛있는 죽순을 조리하기 위해서 쌀뜨물을 이용해 보자."
27,더덕이 고추장으로 옷을 입을 때,"더덕은 우리나라 여러 곳에서 자생하며 근래에는 재배하기도 한다. 초롱꽃과에 속하는 다년생 만초이다. 덩이뿌리는 비대하고 방추형이며 넝쿨진 줄기는 감겨 뻗어 올라가고 길이는 2m이상에 이른다. 더덕은 한약에서 진해, 거담, 해독, 건위강장제로도 쓰인다. 더덕의 일반성분 함량은 대체로 수분 82.2%, 단백질 2.3%, 지질 3.5% 탄수화물 4.5%, 섬유소 6.4%, 회분 1.1% 외 철분, 비타민류, 등이 포함되어 있다.   특히 탄수화물의 경우 과당, 포도당, 설탕 등이 함유되어 있고 칼슘이 비교적 많으며 사포닌 및 스테롤 성분등도 포함되어 약리효과가 있다. 민간에서는 고혈압 및 당뇨병 치료에 쓰였다. 최근에는 항암효과와 변비예방 효능이 밝혀지고 있다. 약용을 겸한 건강식품인 더덕을 고추장에 간장을 섞고 설탕, 기름, 다진 마늘과 파, 깨소금을 넣은 양념장을 발라 석쇠에 구워 낸다. 구운 더덕구이는 고추장의 매운 맛, 단맛, 더덕의 독특한 향기가 어우러져 아주 특색 있는 구이가 만들어 진다."
28,토란의 아린 맛 다시마가 없앤다,"토란은 열대 &#8228; 온대지방에서 많이 재배되는 다년생 초본으로 지대가 낮고 습한 곳에서 잘 자란다. 한의학에서는 토란이 뱃속의 열을 내리고 위와 장의 운동을 원활하게 해주는 식품으로 알려져 있다. 토란의 주성분은 전분이며  독특한 단맛이 나는데 이는 덱스트린과 설탕이 함유되어 있기 때문이다. 알칼리성 식품으로 소화를 돕고 변비를 치료, 예방해주는 완화제로 쓰이기도 한다. 토란의 아린 맛 성분인 수산석회는 많은 양이 체내에 축적되면 결석의 원인이 되기도 한다. 따라서 토란은 껍질을 벗기고 물에 담가 아린 맛을 우려내어 제거시켜야 한다. 토란과 잘 어울리는 식품이 다시마이다.   다시마는 곤포, 해태라 한다. 갈조류에 속하며 다시마에는 여러 종류가 있는데 본래 북아메리카 연안과 우리나라 동해안에서 많이 생산된다. 말린 다시마는 당질이 43.3%, 섬유 7.5%나 함유되어 있다. 특히 알긴산과 요오드의 함량이 높다. 이 두 가지 성분이 토란의 수산석회를 비롯한 유해성분의 체내 흡수를 억제시키는 특성을 가지고 있다. 요오드는 갑상선 호르몬을 잘 만들게 하여 대사를 촉진시킨다. 다시마에는 구수한 맛을 내는 MSG(monosodium L-glutamate)가 함유되어 있어 감칠맛을 돋우어 준다. 이 다시마의 감칠맛은 토란의 맛을 부드럽게 해준다. "
29,"고사리나물엔 꼭 파, 마늘을 첨가 하세요","고사리는 이른 봄에 근경에서 돋아 나와서 꼭대기가 꼬불꼬불하게 말리고 흰솜 같은 털로 온통 덮여 있다. 제사상과 사찰음식에서 많이 이용하는 산나물 중 하나로 우리에게 친숙한 식품의 하나이다. 생 고사리의 성분은 수분 88.0~92.2%, 단백질 2.6~3.9%, 지질 0.1~0.3%, 당질 3.0~5.1%, 조섬유 1.3~1.7%, 회분 0.8~1.0%로 함유되어 있다. 고사리에는 비타민 B1의 분해 효소인 아뉴리나아제(aneurinase)가 들어 있어 지나치게 많이 먹는 경우 비타민 B1의 결핍이 초래될 수도 있다. 따라서 고사리의 부드러운 맛과 영양을 충분히 즐기기 위해서는 고사리의 떫은 성분 등을 우려내고 이용해야 한다. 먼저 큰 그릇에 고사리를 담고 중조의 따뜻한 수용액을 가하여 우려내고 완전히 냉각시킨 후 흐르는 수돗물로 씻어낸 다음 사용해야 한다. 다른 방법으로 마른 고사리를 쌀뜨물에 삶아 주름이 퍼질 정도가 되면 건져서 물에 헹군다. 고사리를 쌀뜨물에 삶을 경우 고사리의 영양 손실도 적고 고사리의 씁쓸한 맛도 제거 시킬 수 있다. 이렇게 준비한 고사리를 기름에 볶아 간장으로 양념하고 파와 마늘 으깬 것을 섞고 잘 볶아서 깨소금을 뿌려서 먹는다. 이 방법은 고사리나물이 비타민 B1을 많이 가질 수 있고 마늘에 들어 있는 알리신 성분이 추가되어 고사리의 영양적 결함을 보완해 준다. "
30,고구마를 먹을 때 김치와 함께,"고구마는 메꽃과의 다년생 초본으로 뿌리와 줄기 &#8228; 잎을 모두 이용할 수 있다. 고구마의 성질은 약간 차고 맛은 달다. 고구마에는 곡류에 없는 비타민 C를 많이 포함하며 특히 비타민 C는 조리과정에도 남는 장점이 있다 주요 성분은 대략 수분 70%, 당질 27.0%이며 회분은 0.7%로  이 중에는 칼륨의 함량이 429mg%로 특히 높다. 비타민 A의 모체인 베타카로틴이 들어 있고  산화작용을 억제하는 물질도 있다. 혈액의 콜레스테롤 수치를 떨어뜨리는 물질도 있다. 특히 고구마의 풍부한 섬유질은 대변 소통을 도와 변비에 뛰어난 효과가 있다. 김치는 배추를 소금에 절이고 젓갈 등을 사용하여 만들기 때문에 염도가 높다. 고구마는 칼륨의 양이 많아 나트륨의 함량이 많은 김치와 함께 먹으면 나트륨과 칼륨의 균형이 맞아 우리 몸에서 염류의 대사가 원활해져 고혈압, 동맥경화의 위험에서 벗어날 수 있다. 고구마을 먹을 때 김치와 함께 먹으면 김치안의 각종 비타민과 유산균과 유산 등 유기산을 공급 받을 수 있어 서로 아주 잘 어울리는  음식이다. "
31,당근은 꼭 식용유와 함께 먹어요,"예로부터 중국에 있었던 무와 흡사하다는 데서 당근이라 불리었다. 인삼이 없었던 일본에서는 당근이 인삼의 대용품으로 사용될 만큼 영양가가 높다. 성질은 따뜻하다. 주요 성분은 수분이 전체의 90~92%, 단백질 0.9%, 지방 0.2% 탄수화물은 6.7%로 비교적 많이 포함되어 있어 단 맛을 띈다. 당근은 먹는 방법에 따라 영양소의 흡수가 달라진다. 그것은 당근에 들어있는 특별한 카로틴 성분 때문이다. 당근의 적황색이 짙을수록 카로티노이드계 색소가 많고 그중 카로틴이 약 90%를 차지한다. 카로틴은 물에 용해되지 않는 지용성으로 비타민 A의 모체이다. 우리 몸에 비타민 A가 부족하면 점막의 각화, 야맹증, 발육부진, 피부 건조 등이 문제시 된다. 채소를 가열하지 않고 먹여야 영양소 파괴가 적다는 이유로 당근을 생것으로 먹거나 쥬스를 만들어 먹는 경우가 많다. 그러나 생당근 쥬스 안에는 카로틴과 섬유질이 거의 들어 있지 않다. 또한 생당근에는 산화효소인 리폭시다아제가 포함되어 있으므로 당근을 잘게 자르거나 으깨면 카로틴이 급속히 산화되어 비타민 A의 효력이 없어진다. 또한 비타민 A와 카로틴은 열에 비교적 강해 일반 조리법으로는 거의 손실이 되지 않는다. 흡수면에서도 날것으로 먹을 경우 거의 흡수되지 않지만 기름과 곁들여 먹으면 50%정도 익힐 경우 30%정도가 흡수된다. 이제부터라도 당근 조리는 꼭 기름을 사용해 보자."
32," 김구이에는 들기름, 참기름으로"," 신선한 들기름이나 참기름을 발라 막 구운 김의 맛과 향은 식욕을 돋운다. 김은 지방이 거의 없으며 단백질함량이 높고 비타민과 칼륨, 인 등의 무기질의 함량이 많다. 특히 카로틴을 많이 함유하고 있어 비타민 A의 좋은 급원이다. 김에 들기름을 발라 구우면 김의 향기와 맛을 돋우고 입안에서의 촉감도 좋아질 뿐만 아니라 김에 많이 존재하는 지용성의 카로티노이드 색소의 흡수를 좋게 한다. 다만  김에 바른 들기름은 불포화지방산이 많아 공기와 접촉 시 쉽게 산패한다. 기름이 산패되면 찌든 냄새가 나고 우리 몸에 유해한 과산화물질 등이 생성되어 여러 가지 질병이나 노화의 원인이 되므로 김에 기름을 발라 먹을 때에는 신선한 기름으로 구이를 해서 바로 먹는 것이 좋다."
33,나른한 봄날 콩가루 묻힌 냉이국 한 그릇,냉이는 초봄에 봄기운과 함께 겨우내 부족했던 비타민을 보충하기에 가장 좋은 식품이다.성질은 너무 차지도 너무 따뜻하지도 않으며 단맛이 있다. 냉이는 우리나라 전 지역에 골고루 분포하는데 잎과 뿌리를 채취하여 식용한다. 겨자과에 속하는 월년초로 채소 가운데서 단백질 함량이 가장 높다. 또 비타민 A와 비타민 C는 야채채소로서는 많은 편이다. 하지만 냉이가 가지는 독특한 향 때문에 날것으로 먹는 것보다는 국이나 나물로 해먹는데 이때 열에 약한 비타민 B1이나 C가 파괴된다. 이 점을 보완하기 위해 우리의 조상들은 냉이국을 끓일 때 쌀뜨물과 날콩가루를 이용하였다. 냉이국에 쌀뜨물을 넣으면 더욱 구수하고 냉이에 날콩가루을 묻혀 국에 넣으면 콩가루의 단백질과 지질이 냉이 표면을 보호하여 파괴되기 쉬운 비타민B1 이나 C의 손실이 적게 된다. 또한 냉이가 가지는 식이성 섬유는 변의 배설량을 증가시키고 장내의 유용균 활동을 돕고 콜레스테롤을 흡착 배설하는 작용이 있어 심장병 예방에도 큰 효과가 있다. 겨울내내 움추렸던 우리 몸에 생기를 줄 수 있는 비타민과 단백질이 풍부한 냉이 된장국을 끓여 보자.
34,솔잎과 아쿠르트,"솔잎에는 단백질, 지질, 철 각종 미네랄, 효소와 함께 비타민 A와 K, C가 함유되어 있다. 예로부터 수행을 위한 강한 체력을 만드는데 소나무가 좋다고 했다. 또한 솔잎은 오장육부를 튼튼하게 하고 허기를 느끼지 않게 한다. 생체조직의 대사를 촉진시키고 수렴성 소염작용과 지혈작용도 한다. 그 뿐만 아니라 솔잎의 효능은 고혈압 강화, 심장강화, 강정작용으로 적혈수를 증진시켜 빈혈에 좋으며 모세혈관을 강화하는 각종 비타민과 루틴이 함유되어 있어 노화 방지 효과도 크다. 하지만 솔잎은 조직이 단단하고 향이 강렬하여 그 자체로 먹기는 쉽지 않다. 그래서 성분의 변화가 없고 같이 먹기에 좋은 식품으로 야쿠르트가 좋다.  야쿠르트는 성질은 평이하고 신맛과 단맛이 있다. 탈지유, 환원우유, 전유 등을 살균한 다음 젖산균의 순수 배양을 첨가하고 발효 및 응고 과정을 거쳐 설탕이나 기타 여러 가지 과일 향이나 성분을 첨가하여 만든다. 원료가 우유이므로 영양가가 높은 유단백질과 무기질류 및 비타민류가 들어 있다. 또 젖산 발효에 의해서 소화 흡수가 잘 되고 살아있는 젖산균을 포함하고 있어 부패균의 증식을 저지하므로 정장 작용을 한다. 또한 유당 불내증이 있는 경우도 소화 흡수가 잘되는 발효식품이다. 야쿠르트에 솔잎 녹즙을 섞으면 야쿠르트의 단백질이 솔잎 성분을 보호하고 신맛 성분인 유산이 비타민 C가 산화되는 것을 방지하는 효과도 있어 더욱 좋다. "
35,무말랭이에 조청을 넣어 조리 해요,"무는 배추와 함께 우리나라의 가장 대표적인 채소이다. 봄, 여름, 가을에 파종을 해 가을의 김장무로 이용하며 뿌리와 잎을 식용한다. 무 뿌리에는 여러 가지 효소가 포함되어 있다. 특히 전분 분해효소인 아밀라아제를 함유하고 있어 소화가 촉진되어 위의 부담이 적다 날무에 수분 94.3~95%로 수분양이 많아 김치를 담가 오랫동안 보관이 어렵다. 가을에 채취한 무를 오랫동안 보관 할 수 있는 방법이 무를 햇빛에 건조 시키는 방법이다. 되도록 얇게 썰어 바람이 잘 통하는 곳에서 말린다. 무말랭이는 수분 함량이 현저히 감소하여 16%이고 당질 59%, 단백질 9.4%, 지질 0.5%, 섬유 0.6%, 회분 7.5%, 칼슘 470mg%, 철 9.5mg%, 비타민 C 20mg% 등이 함유되어 있다. 이는 날무보다 영양소가 증가된다. 무말랭이의 조리법은 주로 무침을 많이 만들어 먹는다.  무침을 할 때 물엿, 조청을 첨가하면 윤기가 있어 보기 좋을 뿐 아니라 식욕을 돋고  수분 증발을 막아 궁합이 아주 잘 맞는 음식이다. 가을철 무가 풍성할 때 무말랭이를 장만하여 조청을 곁들인 무말랭이 무침을 만들어 보자."
36,비타민 E의 기능을 향상시키는 셀레늄,"비타민 E는 출산(tocos)과 관계가 있다고 하여 토코페롤(tocopherol, 항불임성인자)이라고 부른다. 비타민 E는 간, 장어, 고등어, 꽁치, 연어 ,대두, 호박, 무잎, 아보가도, 시금치, 키위, 아몬드, 깨 등에서 얻을 수 있다.   지용성 비타민으로 자연계에 존재하는 식품 성분 중 가장 항산화력이 크다. 우리 몸의 세포막 성분은 다가불포화지방산이 많아 쉽게 산화되어 세포막이 손상되고 질병을 발생시킨다. 비타민 E의 생리적 기능을 더욱 향상 시킬 수 있는 성분이 셀레늄이다.   셀레늄은 인체 내의 중요한 항산화제 역할을 하는 글루타치온의 기능에 관여한다. 이 무기질은 주로 마늘, 파, 토마토, 브로콜리, 양파, 참치, 치즈, 우유, 간 등에 많이 들어 있다. 야채내의 셀레늄의 함량은 재배된 토양 조건에 따라 조금씩 달라진다.  인체는 항산화력이 클수록 정상적인 기능 유지와 젊음을 유지 할 수 있다. 이제 음식을 만들 때 비타민E와 셀레늄이 들어 있는 식품을 골라 조리를 해보자. "
37,아이들의 훌륭한 간식 호박고구마범벅,"호박은 동남아시아의 습기가 많고 더운 지방이 원산지이다. ‘오랑캐로부터 전해진 박과 비슷하다’ 해서 호박이라는 이름이 붙여졌다. 호박의 주요 성분은 수분이 90%를 차지하며 채소 가운데 녹말이 가장 풍부하다. 호박이 누런색을 띄는 것은 카로틴과 잔소필(xanthophyll) 때문이다. 따라서 비타민 A가 풍부하고 비타민 B, C도 함유하고 있다. 호박은 찬 성질을 가지고 있어 소화기가 약한 사람은 많이 먹지 않는 것이 좋다. 호박전, 호박찜, 호박고지, 호박김치, 호박무름, 호박범벅 등 호박을 이용해 다양한 음식을 만들 수 있다.   고구마는 메꽃과 식물로 감자보다 단맛이 있다. 원산지는 중앙아메리카에서 남아메리카에 이른다. 주성분은 당질이고 단맛 성분은 자당, 포도당, 과당 등이 있다. 단백질, 망간, 구리, 코발트가 함유되어 있고 비타민 C는 조리과정 중에도 파괴가 되지 않고 70~80% 정도가 남아 있다. 호박과 고구마을 한데 섞은 호박고구마범벅은 만들기 쉬운 고농축 영양식으로 성장기 어린이에 좋은 간식이 될 수 있다. 늙은 호박, 밀가루, 풋콩, 고구마, 들깨, 소금약간을 넣어 만든 호박고구마범벅은 호박의 비타민의 모체인 베타카로틴의 함량이 많고 풋콩의 있는 풍부한 단백질과 콜린이 자연스럽게 공급되고 또한 고구마의 섬유질 함량이 많아 체내 유해 물질을 배출하는데 도움이 되는 음식이다."
38,마늘 냄새 걱정은 가라~~," 마늘에는 수분, 단백질, 비타민 외에 미량 무기질 및 셀레늄, 게르마늄 등이 들어 있다. 아주 오래 전부터 많은 나라에서 식용 뿐 만 아니라 약용으로 이용되어 왔다. 마늘의 특징 중 강한 냄새와 살균력은 주로 알린(alliin)과 알린이 가수분해 되어 생성된 알리신(allicin) 때문이다. 이 알리신은 비타민 B1의 흡수를 촉진하여 당질 대사를 향상 시켜준다. 또한 체내의 콜레스테롤을 낮추며  알리신은 혈전 생성을 억제하는 효과가 있어 혈압이 높은 고혈압인 사람에게도 좋다. 동물실험에 의하면 마늘을 투여 한 군에서 종양세포의 성장을 억제하는 결과가 보였고 이러한 결과는 인체의 항산화력이 증대되기 때문이다. 우리 몸의 방어 기전인 항산화력이 강해지면 암세포에 대한 저항력이 증대 된다. 하지만 마늘이 가진 강한 냄새 때문에 꺼리는 사람이 많이 있다. 냄새를 제거하기 위한 방법이 많이 있는데 그중에서 파슬리를 이용하면 마늘의 냄새를 제거하고 파슬리의 영양성분도 취할 수 있어 일석이조 격이다.  파슬리는 미나리과에 속하는 2년생 초본으로 독특한 향미를 가진다. 주로 서양요리에서 장식용으로 많이 이용된다.  파슬리는  비타민이 풍부하고 무기질 및 빈혈 치료와 적혈구 형성에 도움이 되는 철분의 함량이 많다. 건강에 좋은 마늘을 먹은 뒤 냄새가 걱정 된다면 이제 후식으로 파슬리를 넣은 샐러드를 준비해 먹어보자. "
39,연근의 변색은 식초로 막으세요,"연은 불교에서 극락세계를 의미하여 사찰음식의 재료로 많이 이용되었다. 또한 중국에서는 연을 중히 여겨 잎, 꽃, 열매, 뿌리의 모든 것을 약재나 식품으로 이용해 왔다. 연의 지하경을 연근이라고 한다. 연근의 주성분은 당질로 대부분 전분이다. 단백질의 함량이 8%정도 되고 아미노산은 아르기닌, 아스파라긴산, 티로신 등이 함유되어 있으며 레시틴, 펙틴도 함유한다. 특히 빈혈에 좋은 비타민 B12가 일반 식물에 비해 다량 함유되어 있다. 예로부터 연근은 강정, 강장제로 이용되었다. 이는 숙취해소에 효과가 있는 아스파라긴산이 함유되어 있기 때문이다. 그 외에 폐병, 빈혈, 하혈, 각기에 효과가 있으며, 출혈성 위궤양이나 위염, 치질, 충혈, 설사, 야뇨증에도 좋고 저혈압인 사람에게 좋은 식품이다. 연근을 잘라 놓으면 색깔이 변색하는데 이는 크로로젠산과 폴리페놀 성분 때문이다. 변색을 막기 위해서 식초에 담가 두면 연근 본래의 색을 유지 할 수 있다. 연근을 삶을 때 주의 할 점은 너무 오래 삶지 않는 것이 좋다. 식초를 넣고 삶으면 잡맛도 제거되고 빛깔도 선명하게 유지할  뿐만 아니라 연근에 함유된 좋은 성분들도 유지 할 수 있어 좋은 방법이다. "
40,변비에 호두를 넣은 곳감쌈을 먹어요,"감은 맛이 달고 약간 떫으며 성질은 차가운 편이다.  종류도 다양하여 일본에서 건너온 단감, 홍시, 감의 껍질을 벗긴 곳감이 있다.  곳감의 표면에 하얀 분은 포도당, 과당이 건조에 의해 생성된 것으로 그냥 먹어도 된다. 감의 떫은맛은 탄닌성분 때문이며 수렴작용이 있어 인체 내 점막 표면의 조직을 수축시키는 약리작용을 하여 설사를 멎게 한다. 한편 감을 많이 먹으면 몸이 냉기가 생기는 경우가 있는데 그것은 떫은맛의 탄닌산이 철분과 결합하여 빈혈을 일으키기 때문이다. 이런 이유로 변비증세가 있는 사람은 먹는 것을 꺼려했다. 하지만 곳감에 호두. 잣 등의 종실류를 넣어 만들면 변비걱정이 사라진다. 호두는 성질이 따뜻하고 맛이 달고 고소하며 독이 없다. 호두에는 콜레스테롤치를 낮추는 불포화지방산이 50% 이상 들어 있고 단백질의 함량도 돼지고기의 2배에 이른다. 평소에 장이 약해 설사를 자주하고 식사 후 대변을 보는 사람들이 먹으면 장을 튼튼하게 만든다. 따라서 곳감에 호두, 잣을 넣어 만든 곳감쌈은 아주  잘 맞는 음식이다."
41,수정과에 동동 띄운 잣,"잣은 성질이 따뜻하여 오장육부를 튼튼하게 하는 효과가 있다. 늦가을인 10~11월에 수확하며 시간이 흐르면 산패하여 맛과 향이 떨어지므로 보관은 서늘하고 어두운 곳에 보관 하여야 한다. 잣의 주요 성분은 수분 5.5%, 지방 64.2%, 탄수화물 9.3%, 단백질 18.6%, 비타민과 무기질을 함유한다.   수정과는 생강과 계피를 다린 물을 달게 하여 곳감을 담가 부드럽게 하여 먹는다. 계피와 생강의 맛이 독특하여 우리나라 사람들이 식혜와 더불어 가장 즐겨 먹던 음료이다.   곳감은 감에 비해 저장성이 좋으며 맛과 영양이 좋다. 그러나 변비의 염려가 있는 사람을 주의해야 한다. 하지만 수정과를 만들어 잣과 함께 먹을 경우 변비의 걱정도 없을 뿐 만 아니라 잣에 들어 있는 양질의 불포화지방산과 철분을 취할 수 있어 서로 잘 맞는 식품이라 하겠다. "
